Overriding config with .\config\train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: init_from = scratch
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 2
Overriding: n_head = 7
Overriding: n_embd = 112
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
Overriding: out_dir = C:\Users\amitc\OneDrive\Desktop\Research\NanoGpt\nanoGPT\experiments\attention_ablation_7
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.31M
C:\Users\amitc\OneDrive\Desktop\Research\NanoGpt\nanoGPT\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\amitc\AppData\Roaming\Python\Python314\site-packages\torch\cuda\amp\grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 10, with 315,504 parameters
num non-decayed parameter tensors: 5, with 560 parameters
using fused AdamW: False
step 0: train loss 4.2052, val loss 4.2040
iter 0: loss 4.1940, time 305.66ms, mfu -100.00%
iter 1: loss 4.1993, time 19.97ms, mfu -100.00%
iter 2: loss 4.1986, time 18.69ms, mfu -100.00%
iter 3: loss 4.1729, time 19.37ms, mfu -100.00%
iter 4: loss 4.1726, time 19.28ms, mfu -100.00%
iter 5: loss 4.1242, time 19.50ms, mfu 0.03%
iter 6: loss 4.0974, time 20.02ms, mfu 0.03%
iter 7: loss 4.0642, time 18.93ms, mfu 0.03%
iter 8: loss 4.0071, time 18.41ms, mfu 0.03%
iter 9: loss 3.9823, time 18.82ms, mfu 0.03%
iter 10: loss 3.9068, time 18.48ms, mfu 0.03%
iter 11: loss 3.8858, time 18.59ms, mfu 0.03%
iter 12: loss 3.8652, time 19.10ms, mfu 0.03%
iter 13: loss 3.8316, time 17.95ms, mfu 0.03%
iter 14: loss 3.7901, time 18.92ms, mfu 0.03%
iter 15: loss 3.8199, time 17.58ms, mfu 0.03%
iter 16: loss 3.7498, time 18.48ms, mfu 0.03%
iter 17: loss 3.7593, time 18.32ms, mfu 0.03%
iter 18: loss 3.7143, time 18.62ms, mfu 0.03%
iter 19: loss 3.7350, time 19.33ms, mfu 0.03%
iter 20: loss 3.6911, time 18.09ms, mfu 0.03%
iter 21: loss 3.6986, time 20.46ms, mfu 0.03%
iter 22: loss 3.6679, time 16.99ms, mfu 0.03%
iter 23: loss 3.6350, time 20.09ms, mfu 0.03%
iter 24: loss 3.6265, time 20.27ms, mfu 0.03%
iter 25: loss 3.5806, time 18.67ms, mfu 0.03%
iter 26: loss 3.6072, time 20.85ms, mfu 0.03%
iter 27: loss 3.6768, time 19.42ms, mfu 0.03%
iter 28: loss 3.4851, time 19.86ms, mfu 0.03%
iter 29: loss 3.4990, time 19.13ms, mfu 0.03%
iter 30: loss 3.4685, time 18.85ms, mfu 0.03%
iter 31: loss 3.4155, time 19.16ms, mfu 0.03%
iter 32: loss 3.3944, time 18.05ms, mfu 0.03%
