Overriding config with config\train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 112
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
Overriding: out_dir = C:\Users\amitc\OneDrive\Desktop\Research\NanoGpt\nanoGPT\experiments\depth_ablation_4
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.61M
C:\Users\amitc\OneDrive\Desktop\Research\NanoGpt\nanoGPT\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\amitc\AppData\Roaming\Python\Python314\site-packages\torch\cuda\amp\grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 18, with 616,560 parameters
num non-decayed parameter tensors: 9, with 1,008 parameters
using fused AdamW: False
step 0: train loss 4.1957, val loss 4.1896
iter 0: loss 4.1699, time 421.66ms, mfu -100.00%
iter 1: loss 4.1670, time 28.15ms, mfu -100.00%
iter 2: loss 4.1642, time 26.97ms, mfu -100.00%
iter 3: loss 4.1331, time 27.33ms, mfu -100.00%
iter 4: loss 4.0954, time 25.88ms, mfu -100.00%
iter 5: loss 4.0620, time 27.78ms, mfu 0.04%
iter 6: loss 4.0036, time 25.58ms, mfu 0.04%
iter 7: loss 3.9435, time 28.08ms, mfu 0.04%
iter 8: loss 3.8839, time 27.22ms, mfu 0.04%
iter 9: loss 3.8431, time 27.80ms, mfu 0.04%
iter 10: loss 3.8002, time 27.00ms, mfu 0.04%
iter 11: loss 3.8016, time 29.28ms, mfu 0.04%
iter 12: loss 3.7711, time 29.20ms, mfu 0.04%
iter 13: loss 3.7705, time 29.07ms, mfu 0.04%
iter 14: loss 3.7561, time 30.12ms, mfu 0.04%
iter 15: loss 3.7205, time 24.73ms, mfu 0.04%
iter 16: loss 3.6683, time 26.49ms, mfu 0.04%
iter 17: loss 3.7131, time 29.67ms, mfu 0.04%
iter 18: loss 3.6845, time 29.19ms, mfu 0.04%
iter 19: loss 3.6703, time 27.42ms, mfu 0.04%
iter 20: loss 3.6600, time 28.52ms, mfu 0.04%
iter 21: loss 3.6225, time 29.62ms, mfu 0.04%
iter 22: loss 3.6321, time 24.68ms, mfu 0.04%
iter 23: loss 3.6331, time 35.84ms, mfu 0.03%
iter 24: loss 3.5582, time 30.26ms, mfu 0.03%
iter 25: loss 3.4688, time 31.29ms, mfu 0.03%
iter 26: loss 3.5309, time 34.41ms, mfu 0.03%
iter 27: loss 3.4426, time 30.22ms, mfu 0.03%
iter 28: loss 3.4465, time 31.03ms, mfu 0.03%
iter 29: loss 3.4242, time 32.70ms, mfu 0.03%
iter 30: loss 3.4206, time 29.51ms, mfu 0.03%
iter 31: loss 3.3981, time 29.58ms, mfu 0.03%
